cell_type,parameter_count,best_validation_loss,test_character_accuracy,training_time_seconds
RNN,227652,2.9964022897183895,0.12662147747995733,225.17778654200083
GRU,622916,1.1320598032325506,0.6135335252982311,530.3679810830072
LSTM,820548,1.0963018322363496,0.6421647542387395,827.2285432079952
